Designator,Mid X,Mid Y,Layer,Rotation
C1,52.83,18.99,Top,0.0
C2,58.42,31.12,Top,270.0
C3,43.69,18.99,Top,0.0
C4,46.74,18.99,Top,0.0
C5,49.78,18.99,Top,0.0
C6,50.67,24.64,Top,270.0
C7,48.51,25.40,Top,270.0
C8,24.77,17.14,Top,90.0
C9,36.83,17.40,Top,180.0
C10,61.98,19.05,Top,90.0
C11,34.29,29.85,Top,90.0
C12,29.46,17.02,Top,0.0
C13,30.48,19.05,Top,0.0
C14, 9.65,25.15,Top,180.0
C15,15.11,14.35,Top,270.0
C16, 3.94,15.62,Top,270.0
C17,11.56,15.75,Top,270.0
C18, 1.91,22.23,Top,270.0
C19,17.14,20.96,Top,270.0
C20, 1.91,13.72,Top,270.0
C21, 2.92,29.08,Top,90.0
C22,16.00,29.08,Top,90.0
CV/S75,58.67,25.91,Top,0.0
IC1,44.83,25.40,Top,0.0
IC2,29.85,22.86,Top,270.0
IC3, 9.53,20.96,Top,270.0
LPF_OFF,53.34,25.53,Top,0.0
Q1,59.05,18.41,Top,90.0
Q2,59.05,21.59,Top,270.0
R1,56.01,18.67,Top,90.0
R2,56.01,21.72,Top,270.0
R3,43.69,14.86,Top,0.0
R4,46.74,14.86,Top,0.0
R5,49.78,14.86,Top,0.0
R6,59.31,15.75,Top,180.0
R7,43.69,16.89,Top,0.0
R8,46.74,16.89,Top,0.0
R9,49.78,16.89,Top,0.0
R10,53.59,27.43,Top,180.0
R11,40.64,25.40,Top,90.0
R12,61.98,22.10,Top,90.0
R13,20.19,17.14,Top,90.0
R14,22.23,17.14,Top,270.0
R15,26.80,17.14,Top,270.0
R16,36.83,19.43,Top,180.0
R17,25.40,27.94,Top,180.0
R18,25.40,29.97,Top,180.0
R19,30.73,27.94,Top,180.0
R20,30.73,29.97,Top,180.0
R21,36.83,23.50,Top,180.0
R22,36.83,21.46,Top,180.0
R23, 1.91,19.18,Top,90.0
R24,17.14,17.91,Top,90.0
R26, 7.49,16.76,Top,90.0
R27, 9.53,16.76,Top,270.0
R30,15.11,17.91,Top,90.0
R33, 3.94,19.18,Top,90.0
R34, 3.94,22.23,Top,90.0
R35,15.11,20.96,Top,90.0
R36,17.14,24.00,Top,90.0
R37, 2.41,24.77,Top,0.0
